imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0053291,"Some Like It Hot",1959,121,2900000,25000000,8.2,305101,3,0
tt0071562,"The Godfather Part II",1974,202,13000000,102600000,9,1495875,2,0
tt0110632,"Natural Born Killers",1994,119,34000000,50283563,7.2,267831,3,0
tt0099674,"The Godfather Part III",1990,162,54000000,136766062,7.5,455887,3,0
tt0146882,"High Fidelity",2000,113,30000000,47100000,7.4,199217,2,0
tt0024216,"King Kong",1933,100,672000,10001781,7.9,96012,0,0
tt0276751,"About a Boy",2002,101,27000000,129000000,7.1,200210,2,0
tt0363226,"The Blind Swordsman: Zatoichi",2003,116,2500000,34196922,7.4,53315,2,0
tt0049406,"The Killing",1956,84,320000,NULL,7.9,105760,1,0
tt0055312,"Pocketful of Miracles",1961,136,2900000,5000000,7.1,8830,NULL,NULL
tt0098621,"The War of the Roses",1989,116,26000000,160188546,6.9,62857,NULL,NULL
tt0180748,"In China They Eat Dogs",1999,91,NULL,NULL,7.3,24575,NULL,NULL
tt0099653,Ghost,1990,126,22000000,505000000,7.1,256806,3,0
tt0067992,"Willy Wonka & the Chocolate Factory",1971,100,3000000,4000000,7.8,245332,2,NULL
tt0070328,"Live and Let Die",1973,121,7000000,126400000,6.7,124797,1,0
tt0360717,"King Kong",2005,187,207000000,562363449,7.2,470779,0,0
tt0062695,"Stolen Kisses",1968,91,350000,1500000,7.5,16592,NULL,NULL
tt0380599,"Oliver Twist",2005,130,50000000,42580321,6.8,35672,1,0
tt0065651,"Bed & Board",1970,97,NULL,NULL,7.4,11599,NULL,NULL
tt0078771,"Love on the Run",1979,94,NULL,NULL,7,8206,NULL,NULL
tt0026029,"The 39 Steps",1935,86,NULL,NULL,7.6,66214,3,0
tt0051459,"Cat on a Hot Tin Roof",1958,108,3000000,17570324,7.9,56995,3,0
tt0085794,"The King of Comedy",1982,109,19000000,2536000,7.8,133049,1,0
tt0082661,"Lili Marleen",1981,120,NULL,8144,7.1,4747,NULL,NULL
tt0057345,Contempt,1963,102,900000,528428,7.4,39157,1,0
tt0118819,"Live Flesh",1997,103,1000000,4686844,7.3,35557,2,0
tt0096895,Batman,1989,126,35000000,411348924,7.5,432590,1,0
tt0053472,Breathless,1960,90,80000,NULL,7.6,95510,0,0
tt0088015,"Ronia: The Robber's Daughter",1984,126,NULL,NULL,7.3,13003,NULL,NULL
tt0372784,"Batman Begins",2005,140,150000000,374218673,8.2,1714685,1,0
tt0276617,"The White Sound",2001,103,250000,NULL,7,3676,NULL,NULL
tt0102926,"The Silence of the Lambs",1991,118,19000000,272742922,8.6,1724038,3,0
tt0116282,Fargo,1996,98,7000000,60611975,8.1,788073,2,0
tt0408777,"The Edukators",2004,127,NULL,NULL,7.4,33086,3,1
tt0320691,Underworld,2003,121,22000000,95708457,7,300854,3,1
tt0111161,"The Shawshank Redemption",1994,142,25000000,28341469,9.3,3189749,0,NULL
tt0086879,Amadeus,1984,160,18000000,90007557,8.4,468281,3,0
tt0103064,"Terminator 2: Judgment Day",1991,137,102000000,517778573,8.6,1284645,3,1
tt0114558,"Strange Days",1995,145,42000000,7959291,7.2,85224,3,1
tt0053604,"The Apartment",1960,125,3000000,25000000,8.3,219489,3,0
tt0449088,"Pirates of the Caribbean: At World's End",2007,169,300000000,961691209,7.2,744258,3,NULL
tt0853060,"Deutschland. Ein Sommermärchen",2006,108,NULL,NULL,7,3361,NULL,NULL
tt0094812,"Bull Durham",1988,108,7000000,50888000,7,64179,2,1
tt0044706,"High Noon",1952,85,730000,8000000,7.9,116492,2,0
tt0034583,Casablanca,1942,102,878000,10462500,8.5,655946,1,0
tt0101410,"Barton Fink",1991,116,9000000,6153939,7.6,135660,1,0
tt0389326,"Riding Giants",2004,105,2600000,3166000,7.8,4781,NULL,NULL
tt0425598,"Dave Chappelle's Block Party",2005,103,3000000,11718595,7.2,9854,NULL,NULL
tt0105265,"A River Runs Through It",1992,123,12000000,43440294,7.2,71175,2,0
tt0089015,"Desert Hearts",1985,91,350000,2400000,7.1,8486,3,0
tt0181852,"Terminator 3: Rise of the Machines",2003,109,200000000,435000000,6.3,437259,3,0
tt0119643,"Meet Joe Black",1998,178,90000000,142940100,7.2,300333,1,0
tt0496806,"Ocean's Thirteen",2007,122,85000000,311312624,6.9,387396,1,0
tt0054135,"Ocean's Eleven",1960,127,NULL,2800000,6.5,27354,NULL,NULL
tt0354899,"The Science of Sleep",2006,105,6000000,9524340,7.2,72234,3,0
tt0053221,"Rio Bravo",1959,141,1200000,5750000,7.9,73608,1,0
tt0324133,"Swimming Pool",2003,102,7800000,22441323,6.7,51441,3,0
tt0038787,Notorious,1946,102,2000000,24500000,7.9,113936,2,0
tt0109254,"Beverly Hills Cop III",1994,104,50000000,119208989,5.5,100563,0,0
tt0038890,"Rome, Open City",1945,103,20000,1000000,8,34067,3,0
tt0412019,"Broken Flowers",2005,106,10000000,46720491,7.1,110330,3,0
tt0154420,"The Celebration",1998,101,1300000,NULL,8,101013,3,1
